"stock","Region1Name","Region2Name","Region3Name","Region4Name"
"MARION_DRAIN_FA","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"METHOW & OKANOGAN","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"METHOW R     48.0002","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"METHOW_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"METHOW_R_SP","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"OKANAGAN","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"OKANAGAN_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"OKANAGAN_RIVER","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"OSOYOOS_LAKE","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"OSOYOOS_RESID","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"PRIEST RAPIDS   (36)","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"PRIEST_RAPID_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"PRIEST_RAPIDS_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"SEYMOUR_RIVER","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"SILMILKAMEEN_S","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"SIMILKAMEEN","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"TANNER CR (BNVILLE)","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"U_DESCHUTES_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"UMATILLA R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"UMATILLA_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"UMATILLA_H_FA","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WARM SPRINGS R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WARM_SPRINGS_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WASHINGTON BRIGHTS","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WELLS DAM       (47)","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WELLS HATCHERY","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WELLS_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE R  45.0030","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE SU","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE_H_SP","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE_R_SF","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE_R_SP","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE_RIVER","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"WENATCHEE_SU","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"YAKIMA R-LOW 37.0002","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
