"stock","Region1Name","Region2Name","Region3Name","Region4Name","pst_agg"
"LEWIS_R_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"LEWIS_R_HATCH","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"LEWIS_R_LSU","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"LEWIS_R_SU","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"NORTH TOUTLE HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"SANDY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"SANDY COVE SEAPEN","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"SANDY HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"SANDY HATCHERY (SANDY R)","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"SANDY_R","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"SANDY_RIVER","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"TANNER CR (BNVILLE)","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"WASHOUGAL HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"WASHOUGAL R  28.0159","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"WASHOUGAL_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"BONNEVILLE LADDER","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","CR-upper_sp"
"CLACKAMAS R EARLY","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","CR-upper_sp"
"CLACKAMAS_N","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","CR-upper_sp"
"CLACKAMAS_NO","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","CR-upper_sp"
"CLACKAMAS_RIVER","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","CR-upper_sp"
"CLACKAMUS_R","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","CR-upper_sp"
"MACKENZIE","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","CR-upper_sp"
"MCKENZIE HATCHERY","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","CR-upper_sp"
